### Events ###
event_id;timestamp_utc;matched_flag;lat;lon;confidence_proxy;confidence_tier;distance_to_coast_km;bathymetry_m;triage_score;uncertainty_score;mpa;eez;near_coast;low_confidence_proxy;missing_confidence_proxy;inside_eez;inside_mpa;unmatched_to_public_ais;matched_to_public_ais;noisy_vessel;bathymetry_fishing_zone;bathymetry_shallow_eez_hotspot;bathymetry_mpa_shallow_zone;bathymetry_cargo_anomaly_zone;bathymetry_deep_mpa;low_confidence_tier;medium_confidence_tier;high_confidence_tier
"01d3f07ebaf357cf6de7fa822b457bc1dc40d693a0782d29331564718c5b61a8";"2025-11-05T16:00:00Z";"false";="55.23";="14.41";N/A;"low";="18.76";"-42";="1";="0.63";"I";"Danish Exclusive Economic Zone";"false";"false";"true";"true";"true";"true";"false";"false";"false";"true";"true";"false";"false";"true";"false";"false"
"2589cfe0f060875b3ac59fc3c73ca7af0fca9d8ead111d68cb4e6d50b23ad7e0";"2025-10-12T16:00:00Z";"false";="55.11";="14.64";N/A;"low";="2.97";"-23";="1";="0.63";"Rønne Banke";"Danish Exclusive Economic Zone";"true";"false";"true";"true";"true";"true";"false";"false";"false";"true";"true";"false";"false";"true";"false";"false"
"b8ac8971ebc13c3d6788e1a98693dc17461269478da4fe32642f8d9f17c03d67";"2025-10-07T05:00:00Z";"false";="55.23";="14.44";N/A;"low";="16.86";"-41";="1";="0.63";"I";"Danish Exclusive Economic Zone";"false";"false";"true";"true";"true";"true";"false";"false";"false";"true";"true";"false";"false";"true";"false";"false"
"71df9c69ade08525376f44f71f8d1b10a6185d01f02eb4cc4d21992666e6399e";"2025-09-20T05:00:00Z";"false";="55.23";="14.53";N/A;"low";="11.15";"-47";="1";="0.63";"I";"Danish Exclusive Economic Zone";"false";"false";"true";"true";"true";"true";"false";"false";"false";"true";"true";"false";"false";"true";"false";"false"
"b9d8e14a15c24f696a3483589c64adc1c6508e6a01c2d6298e3a1dfdf70a555a";"2025-08-20T05:00:00Z";"false";="55.22";="14.41";N/A;"low";="18.72";"-43";="1";="0.63";"I";"Danish Exclusive Economic Zone";"false";"false";"true";"true";"true";"true";"false";"false";"false";"true";"true";"false";"false";"true";"false";"false"
"f310335fbf2a526bc2053a5a9c97542c8a09c4f5d66fa120a870f6aa275b9d1f";"2025-07-25T16:00:00Z";"false";="55.23";="14.39";N/A;"low";="20.02";"-40";="1";="0.63";"I";"Danish Exclusive Economic Zone";"false";"false";"true";"true";"true";"true";"false";"false";"false";"true";"true";"false";"false";"true";"false";"false"
"c4024aa2ba5d2a5483279050a38cf6ab44a5b0a2a853af18806cf2c9262d4542";"2025-01-11T05:00:00Z";"false";="55.23";="14.4";N/A;"low";="19.39";"-41";="1";="0.63";"I";"Danish Exclusive Economic Zone";"false";"false";"true";"true";"true";"true";"false";"false";"false";"true";"true";"false";"false";"true";"false";"false"
"7b5da36772e8b1651fe158ecb51f375e359b7541ceb3108f24ddd7419f25d464";"2025-10-05T16:00:00Z";"false";="55.15";="14.65";N/A;"low";="3.16";"-32";="0.88";="0.63";N/A;"Danish Exclusive Economic Zone";"true";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"40d6a3f048e22459a193bc75aab78d1b2c6474c99d07ae3aa3f98c5449bd4c09";"2025-09-11T16:00:00Z";"false";="55.24";="14.62";N/A;"low";="5.64";"-39";="0.88";="0.63";N/A;"Danish Exclusive Economic Zone";"true";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"a8d42a2f9e261759931332b39268f1fe007d9e431829730df7acc0c1c3cb4816";"2025-08-08T05:00:00Z";"false";="55.24";="14.58";N/A;"low";="8.13";"-43";="0.88";="0.63";N/A;"Danish Exclusive Economic Zone";"true";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"68948f9ed0ca2232187c55c30ade1d75909e5dccdd40de8f75f426c25a8d2559";"2025-05-21T16:00:00Z";"false";="55.13";="14.58";N/A;"low";="7.3";"-42";="0.88";="0.63";N/A;"Danish Exclusive Economic Zone";"true";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"3069e7406e473d07487d3708577efcfb49eea097a122708e5df4f4150b856697";"2025-05-09T16:00:00Z";"false";="55.13";="14.59";N/A;"low";="6.7";"-41";="0.88";="0.63";N/A;"Danish Exclusive Economic Zone";"true";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"a97fdca4e9056e0c5d9d4bc3bf89e8eb7832969ff9d7b6592e2d9e00dd13440b";"2025-04-27T16:00:00Z";"false";="55.13";="14.59";N/A;"low";="6.7";"-41";="0.88";="0.63";N/A;"Danish Exclusive Economic Zone";"true";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"8205ec5921c7d2a9ef01eb0b6ad68a6388efe0f2a7d3f6bff7cf8c43dcaf06e2";"2025-12-16T16:00:00Z";"false";="55.2";="14.36";N/A;"low";="21.81";"-44";="0.58";="0.63";N/A;"Danish Exclusive Economic Zone";"false";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"b5803474e9e6f837a8f770c749a76b40769ce76855d61dd88fae3678ad38973a";"2025-12-16T16:00:00Z";"false";="55.24";="14.14";N/A;"low";="16.37";"-36";="0.58";="0.63";N/A;"Swedish Exclusive Economic Zone";"false";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"1b99f5ea15301e98dbd44d84a9741a4d8a3d4c1b38479ed7f9239027790693c0";"2025-12-13T05:00:00Z";"false";="55.24";="14.25";N/A;"low";="17.32";"-27";="0.58";="0.63";N/A;"Swedish Exclusive Economic Zone";"false";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"8295ccc8a648afefb4588b3127cc520c62001bcaa875d5735b47b758ce6a95bd";"2025-12-04T16:00:00Z";"false";="55.2";="14.21";N/A;"low";="21.07";"-43";="0.58";="0.63";N/A;"Swedish Exclusive Economic Zone";"false";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"b64db7ff16059f9161a8817f6b07d714fea3d6257a2b47c6d5a499a3358b4653";"2025-11-22T16:00:00Z";"false";="55.11";="14.21";N/A;"low";="30.18";"-47";="0.58";="0.63";N/A;"Danish Exclusive Economic Zone";"false";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"e91f8f36f4c16037e3e4ffc8203b1d1547437f0712f37f6e6d84f0c0910d58cd";"2025-11-22T16:00:00Z";"false";="55.19";="14.37";N/A;"low";="21.13";"-44";="0.58";="0.63";N/A;"Danish Exclusive Economic Zone";"false";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"d6477fac3ae5e215b5acf2454ef7a895353c6a09584c01eb622dbfd555b52e6e";"2025-11-10T16:00:00Z";"false";="55.18";="14.32";N/A;"low";="24.27";"-45";="0.58";="0.63";N/A;"Danish Exclusive Economic Zone";"false";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
"610136d03f4cde0ee0d608ddbd3292befa0db5a7600ba34e888ddd84a92c2c0b";"2025-11-07T05:00:00Z";"false";="55.23";="14.14";N/A;"low";="17.49";"-38";="0.58";="0.63";N/A;"Swedish Exclusive Economic Zone";"false";"false";"true";"true";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false"
